hour,norm
0,0.684027107346802
1,0.639215390071145
2,0.609928482031206
3,0.597546850205049
4,0.595463854623856
5,0.609763310575429
6,0.668943086324844
7,0.770990641748431
8,0.837508858777675
9,0.865950682139301
10,0.876460811257197
11,0.874208819059053
12,0.866820564165576
13,0.86226119817343
14,0.835613646100201
15,0.818801552149729
16,0.808960523422995
17,0.805599087009797
18,0.820608933594708
19,0.868997725173503
20,0.899106667297482
21,0.883175270826425
22,0.819792363277555
23,0.744874872941366
