x,y1,y2,y3,y4,y5,y6,y8,y9,y10,y11,y12
1,1.050,0.963,0.989,0.972,0.937,1.000,1.031,0.986,1.000,0.984,0.950
2,1.050,0.974,0.998,0.982,0.952,1.000,1.035,0.995,1.008,0.993,0.963
3,1.050,0.981,1.003,0.988,0.961,1.000,1.037,1.001,1.013,0.998,0.972
4,1.050,0.984,1.005,0.990,0.965,1.000,1.038,1.003,1.015,1.000,0.975
5,1.050,0.985,1.006,0.991,0.966,1.000,1.038,1.004,1.015,1.001,0.976
6,1.050,0.981,1.003,0.988,0.961,1.000,1.037,1.001,1.013,0.998,0.972
7,1.050,0.967,0.992,0.975,0.942,1.000,1.032,0.989,1.003,0.987,0.955
8,1.050,0.938,0.969,0.950,0.905,1.000,1.022,0.965,0.983,0.964,0.920
9,1.050,0.915,0.952,0.931,0.876,1.000,1.014,0.947,0.967,0.946,0.893
10,1.050,0.904,0.944,0.921,0.862,1.000,1.010,0.938,0.960,0.938,0.880
11,1.050,0.900,0.941,0.918,0.856,1.000,1.009,0.935,0.957,0.935,0.875
12,1.050,0.901,0.941,0.919,0.857,1.000,1.009,0.936,0.958,0.935,0.876
13,1.050,0.904,0.944,0.921,0.861,1.000,1.010,0.938,0.960,0.938,0.879
14,1.050,0.906,0.945,0.923,0.864,1.000,1.011,0.939,0.961,0.939,0.882
15,1.050,0.916,0.953,0.931,0.877,1.000,1.014,0.948,0.968,0.947,0.894
16,1.050,0.922,0.957,0.936,0.884,1.000,1.016,0.953,0.972,0.952,0.901
17,1.050,0.925,0.960,0.939,0.889,1.000,1.018,0.955,0.974,0.954,0.905
18,1.050,0.926,0.961,0.940,0.890,1.000,1.018,0.956,0.975,0.955,0.906
19,1.050,0.921,0.957,0.936,0.884,1.000,1.016,0.952,0.972,0.951,0.900
20,1.050,0.903,0.943,0.920,0.860,1.000,1.010,0.937,0.959,0.937,0.878
21,1.050,0.891,0.933,0.910,0.844,1.000,1.005,0.927,0.950,0.927,0.863
22,1.050,0.897,0.939,0.915,0.853,1.000,1.008,0.933,0.955,0.932,0.871
23,1.050,0.921,0.957,0.936,0.884,1.000,1.016,0.952,0.972,0.951,0.900
24,1.050,0.946,0.975,0.957,0.915,1.000,1.025,0.972,0.988,0.970,0.929
